english,luo
Kidney,Duol remo matin
Labor,Nywol
Laboratory,Laboratori
Lactose intolerance,Ok romo cham kidi ma rom gi pi
Liver,Chiemo
Loss of appetite,Chien piny
Low blood sugar,Sukari matin
Low blood pressure,Tero remo matin
Lungs,Um
Malaria,Maleriya
Malignant,Marach
Malnutrition,Kodh
Medical record,Kit ranyisi
Medicine,Yath
Migraine,Riu wi madongo
Monitoring,Luwo
Mortality,Thoo
MRI,MRI
Mucus,Um ich
Multivitamin,Multivitamin
Muscle,Ngʼwele
Narcotic,Yath ma ringo
Nasal congestion,Um omak
Nasal spray,Yath um
Nausea,Ich oyier
Nebulizer,Mashin um
Negative,Ok gi
Normal,Normal
Numbness,Liel
Obesity,Dendo maduong
Ointment,Menyo
Opioid,Yath riu maduong
Operation,Operation
Oral medication,Yath ma kel gi dhok
Oral rehydration salts (ORS),ORS
Overdose,Omeyo kit mangʼeny
Over-the-counter (OTC),Yadwa kata kende
Pain,Riu
Pain relief,Tero riu
Pain scale,Mbalo riu
Palpitations,Chuny poko
Paracetamol,Paracetamol
Pharmacy,Duka yath
Pharmacist,Jadolo yath
Physical examination,Neno wiye
Pill,Tongʼ yath
Placebo,Yath ma ok en yath
Platelet count,Temo platelets
Potency,Kendo
Powder for injection,Yath guok ma temo tuogo
Pregnancy test,Temo ich mondo
Prescription,Orweny yath
Prognosis,Neno kawuono
Probiotic,Probiotic
Psychosis,Puonj rieko marach
Pulse,Tero chuny
Quinine,Quinine
Radiology,Puonj neno gi x-ray
Rapid diagnostic test (RDT),Temo ma fwafwa
Rash,Ler
Redness,Rakrak
Refill,Donjo yath
Resistance (drug),Yath ok biro tero
Respiratory rate,Tero um
Restlessness,Puonj fwafwa
Ringing in ears (Tinnitus),It oohoh
Ruma,Fever
Runny nose,Um oywal
Salbutamol,Salbutamol
Sedative,Yath ma miyo nindo
Shot,Tuogo
Side effect,Tik machiegni
Sleeping pill,Yath nindo
Sneezing,Thiso
Sore,Lot
Sore throat,Dhok riyo
Splint,Bendej matin
Stethoscope,Stethoscope
Stiffness,Ngwill
Stool test,Temo chiek
Stool sample,Kar chiek
Stomach ache,Riu ich
Storage,Keto kama
Suppository,Yath ma ilo kund
Surgery,Tuko marach
Sweating,Thiew
Swelling,Um
Symptom,Laromo
Syrup,Rabuon yath
Tablet,Tongʼ yath
Temperature,Tempirecha
Test,Temo
Therapy,Tera
Thermometer,Themometer
Thirst,Chien
Throat infection,Tuon dhok
Tiredness,Chakruok
Tonsils,Toŋsi
Toothache,Riu lak
Traditional medicine,Yath chike
Transfusion,Tuogo remo
Treatment,Tera
Tuberculosis (TB),TB
Tumor,Um madongo
Ulcer,Chira ich
Ultrasound,Ultrasound
Umbilical cord,Duol nyathi
Unconsciousness,Liel ok onyiso
Urine,Chwiny
Urine test,Temo chwiny
Urine sample,Kar chwiny
Vaccination,Tuogo mondo
Vaccine,Yath tuogo
Vaginal infection,Tuon ich nyiri
Vein,Kado
Virus,Virusi
Vision,Winjo
Vomiting,Ywak
Wart,Kok
Weight,Dongo ringruok
Wheezing,Um wuoth
White blood cell,Remo buto
Wound,Kethruok
X-ray,X-ray
Yellow fever,Tuon yellow fever
Yeast infection,Tuon yeast
Zinc,Zinc
Zoonotic disease,Tuon jomoko
